Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
A Man Without a Country,Stinking Lizaveta,2009,0.355285536,152.97261,140.703
Animal,Dag För Dag,2010,0.496175336,179.93098,149.066
Ashtray Monument,Jawbreaker,1994,nan,184.65914,166.255
Ain't That Peculiar,Grassella Oliphant Quartet,1968,nan,171.04934,140.145
At the Edge,Allan Holdsworth,1992,0,198.00771,93.089
Ali Mcbills (Robert Johnson 6am X-ray Italo Rework),Jahcoozi,2007,nan,564.71465,126.001
Around The World (LP Version),Jo Jo Gunne,1974,0,240.45669,152.444
A Letter To Tracy,Keb' Mo',1998,nan,250.38322,94.531
Amor Luz,Maria de Barros,2008,0.413739836,254.06649,183.981
A Tisket A Tasket,Django Reinhardt;Quintette Du Hot Club de France,2001,nan,184.60689,40.389
All Come To Meet Her,Alexander 'Skip' Spence,1969,0.579261513,121.10322,147.46
Angela's Secret,These Arms Are Snakes,2004,0.622164588,214.62159,101.843
And It's Alright,Peter Broderick,2008,nan,316.39465,149.421
Albor (Bonus!_ Dortmund_ Germany_ 2005),Theodor Bastard,2006,0.419125893,614.16444,143.342
Army of Me,Björk,1995,nan,234.23955,86.05
Ahaha,Dreams Come True,1998,0.249065795,252.49914,106.912
Ayurvedic,Ozric Tentacles,1990,nan,657.44934,164.073
A Convivial Feast of the Peace Beast,An Albatross,2008,0.499752328,85.73342,120.817
And I Love You,Chelsea,2005,0,183.24853,153.514
Alien Bzzing,Fireside,1997,0.352232225,345.96526,126.354
An Introduction To Science,Solvent,2004,nan,84.58404,158.068
A List Of Things,Damhnait Doyle,1998,0.288481643,195.70893,98.137
Antwerpen,Enter Shikari,2009,0.796067922,194.71628,85.537
At Night,Shakedown,2001,nan,387.29098,124.117
All Over But The Shoutin',Shenandoah,1996,0.334706549,175.09832,168.411
Apostle's Warning,Mobb Deep,1996,0.612648356,241.73669,90.035
About A Burning Fire (Album Version),Blindside,2004,0.750340175,274.83383,138.195
Abuela,Les Négresses Vertes,2001,0.386477291,296.77669,123.91
A Dama Do Apocalipse,Elis Regina,1977,0.44082644,218.85342,149.662
A Little Bumpin',Lee Ritenour / Harvey Mason / Bob James,1993,0.817665694,268.56444,102.994
Afternoon Train (demo),Air Miami,1994,nan,132.70159,121.935
Amor Marinero,Rocio Jurado,2005,0.324058699,260.98893,107.319
Amigos Del Gnomo,Los Enemigos,1994,0,249.86077,109.363
As Time Goes By,Steve Tyrell,2001,0.690290538,237.58322,109.501
All Most Blues,Jeff Lorber,2007,nan,264.38485,160.756
Anorak Christmas (Alexander Robotnick Remix),Sally Shapiro,2008,0.246865094,386.08934,129.987
Arc Of Time (time Code) (Album Version),Bright Eyes,2005,0.868794688,234.34404,115.095
A fiate,Après La Classe,2004,nan,248.37179,131.98
Antiquated (Acoustic),The Jazz June,2007,0,223.65995,190.421
A Natural Fact,Vibracathedral Orchestra,2007,0.493796569,532.13995,143.689
A Hundred Times in Every Direction,Vessels,2008,nan,383.52934,168.8
Angel Of Mercy,Jonny Lang,1998,0.645131437,270.68036,85.455
Agogo,Clatterbox,1995,nan,167.88853,139.309
Another Place To Fall,KT Tunstall,2004,0.693464248,250.17424,91.221
Amen,Deitrick Haddon featuring WWIC M.V.P. Youth Choir,2004,0.265861049,263.81016,150.451
Ain't That Nothin' (Remastered LP Version),Television,1978,0.577499802,292.75383,123.38
Angry Youth,Vice Squad,2000,0.607714202,85.44608,106.934
Abandon Your Hope,RAUNCHY,2006,0.701123772,283.19302,150.05
Are You Gonna Move It For Me,The Donnas,2001,0.646854148,151.40526,137.274
Azúcar Amarga,Vox Dei,1970,0.345802234,216.24118,116.03
Ain't Nobody,Jaki Graham,1994,0.360370583,297.11628,215.256
Apocalyptic Riders,Reverend Bizarre,2004,0.576810825,455.31383,133.25
A Pesar De Todos,Ana Gabriel,1997,nan,228.0224,100.052
Ayúdame,Intocable,2000,0.480934213,265.09016,137.816
Alama,Kultur Shock,2004,nan,268.79955,111.407
American Reprieve,Jason Ringenberg,2007,0,193.64526,164.08
All These Things,Three Fish,1999,0.53238942,230.32118,97.331
Archives On Fire,Mothboy,2004,0,78.39302,120.112
All Over Your Face,Puff Johnson,1996,0.334706549,227.02975,92.014
Al culo de una lombriz,Marea,2004,0.576810825,225.56689,165.036
A Great Desire,Attrition,1995,0,597.4722,119.834
Alone,The Amalgamation Of Soundz,2001,0.38293509,400.1171,94.944
A Chance To Say Goodbye,Children 18:3,2008,0.624729028,177.68444,183.869
A Spaceman Came Travelling,Smokie,1996,0.481694147,288.9922,97.995
Alma De Diamante,Luis Alberto Spinetta,1999,nan,264.46322,93.873
All You'll Ever Need,Vardis,1981,0.212045405,267.67628,135.885
Are You The One?,The Presets,2005,0.583566126,214.56934,132.906
Anyway You Want Me,Little Richard,1995,0,172.38159,111.375
Alle eendjes,Fred Van Hove,2002,nan,506.51383,79.696
Agenda,Success Will Write Apocalypse Across The Sky,2009,0.512195858,162.53342,181.324
Alive In Sweet Bad Times,Meanest Man Contest,2002,0.229144104,197.61587,119.857
Ahead to the sea,Ahead to the sea,2005,0.237371642,257.38404,117.753
Atomic Moog,Coldcut,1999,nan,224.9922,138.962
Älä piipitä,Ne Luumaet,1991,0,149.81179,181.691
Ammunition (C/A/T Mix),I:Scintilla,2009,0.474882706,329.56036,160.026
Air Drum,Philippe Rochard,2004,nan,308.63628,139.972
Aliens,Atomship,2004,0.681319514,262.3473,181.946
Ac-Cent-Tchu-Ate The Positive,Bing Crosby & The Andrews Sisters,1996,nan,162.69016,136.692
Ask Me Nicely,Pterodactyl,2007,0.464173992,159.52934,155.831
At The End Of The Tunnel,Devil Sold His Soul,2007,0.600721289,263.02649,89.219
Algo Para Cantar,Pereza,2003,0.468997788,147.01669,129.978
Amor De Pobre,Los Titanes,2001,0,305.26649,73.1
Attached At The Hip,CKY,2002,0.805666366,180.16608,131.864
all i regret,Painbastard,2002,0.557007683,221.20444,170.057
Amarrado a ti,Alex Ubago,2009,0.319565987,225.04444,136.916
A Crow Left Of The Murder,Incubus,2004,nan,222.74567,180.971
Ask Yourself,Pretz,2006,0.530025614,367.28118,103.89
Always Returning,Brad Mehldau,2010,0.638967921,592.79628,142.172
As The Flower Withers,U-Recken,2008,0.508986897,266.78812,219.979
Alerta felguera,Escuela de Odio,2008,nan,137.03791,105.974
Advantage,Al DiMeola,1982,0.413739836,296.88118,79.232
Against The Sky (2005 Digital Remaster),Harold Budd And Brian Eno,1984,0,291.5522,101.869
All Together Now,The Farm,1990,0,442.85342,223.003
Anything Is Possible,Wiley ft. Frisco & Cookie,2008,0.367273416,192.49587,140.189
A Deeper Love (Radio Mix),Corenell feat. Ann Bailey,2006,nan,179.722,127.05
Angoa,Orquesta America,1997,nan,379.29751,112.566
Aerial Bright Dark Round,Jaga Jazzist,2002,0.579416472,309.9424,110.887
Always True To You In My Fashion,Blossom Dearie,1992,nan,169.63873,172.244
And There Will Be A Swarm Of Hornets,Norma Jean,2008,0.761233171,559.28118,133.846
At The Hop,Danny And The Juniors,1957,nan,151.58812,193.329
Anti-Shadow,Giant Sand,1992,0.246865094,268.14649,127.358
A Song For The Outcast,Backyard Babies,2003,nan,231.3922,148.757
Awaiting The Flood,Devil Sold His Soul,2007,0.600969778,267.4673,120.594
Amor Em Tempos de Guerra,Mamelo Sound System,2003,nan,235.49342,115.006
Avalon,Storyhill,2010,nan,209.81506,106.053
Am Tisch,Kettcar,2008,nan,276.81914,167.983
An Interlude (Album Version),Atreyu,2004,0.658318184,129.59302,158.98
All About Housemusic,Yves Murasca,2008,nan,445.59628,126.01
Assum Preto/Asa Branca,Carlos Nuñez,2009,0.304169503,240.19546,127.39
Alegria,Kirsty MacColl,2000,nan,121.3122,92.826
Angel,Jane Jensen,2000,nan,228.72771,139.997
Astarte,Secret Oyster,2005,0,392.69832,161.734
Awakening Suite_ Pt.1 [Childhood - The Opening Of The Heart],Narada Michael Walden,1979,0.270359664,205.73995,122.05
Akustik,Barcode Brothers,2002,0.270775999,252.52526,89.382
An Early Spring,Baby Dee,2010,0.428702263,129.88036,39.977
A Million Reasons,Stellastarr*,2003,nan,259.13424,120.008
Ases Death,At Vance,2001,0.564426262,280.08444,168.502
Alone Together,Ilona Knopfler,2005,0,208.29995,166.982
All I Want,Kirsty Hawkshaw,2005,0.552007132,398.07955,128.997
Across Country,Ill Lit,2006,nan,234.78812,42.962
Ans Kreuz Genagelt,Massiv in Mensch,2001,0,271.882,128.027
Anxiety,Johnny Dowd,2006,nan,196.57098,137.387
Amoureuse,Rework,2001,0.377531645,229.40689,119.995
Ashley and Scarlett,Max Steiner,1990,nan,138.9971,111.819
Africa,Beatriz Luengo,2005,0.482044726,243.51302,113.083
Apilapelto,Kerkko Koskinen,2005,0.327736683,228.91057,166.978
Au Renouvel,Shira Kammen,2006,0,228.70159,94.749
A Travelling Mirror,Anne Dudley,2000,0,119.40526,103.36
